id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
857101344,2,2,2,1.0,32666.6666666667,16333.3333333333,27485.2055,13742.60275,5228.1719,0.0,540.0,13000.0,921.6,0.0,240.0,708.0,1149.5,0.0,3745.45,1952.4836
954970955,2,2,2,1.0,130000.0,65000.0,30076.15,15038.075,5581.37,0.0,0.0,15330.0,5000.0,467.64,1792.62,1080.0,550.0,0.0,216.5,58.02
398631952,2,2,2,1.0,141166.666666667,70583.3333333333,65535.485,32767.7425,10731.905,0.0,3100.0,10760.0,10436.0,16000.0,7526.66,3220.0,1360.0,0.0,649.5,1751.42
326820872,2,3,3,1.0,105583.333333333,35194.4444444444,137801.065,45933.6883333334,4814.96,259.8,5500.0,15900.0,7700.0,869.6,63055.365,8409.1,11150.0,0.0,14391.54,5750.7
870181250,2,3,2,1.5,113050.0,37683.3333333333,67616.243,22538.7476666667,7256.214,476.3,3000.0,12638.0,6530.222,7500.0,1746.4,4200.0,5520.0,10700.0,5866.717,2182.39
697277891,2,2,2,1.0,59466.6666666667,29733.3333333333,25790.1046,12895.0523,4057.5564,0.0,480.0,9925.0,2373.6635,1600.0,1742.825,2350.0,750.0,0.0,1879.22,631.8397
874952735,2,1,1,1.0,21466.6666666667,21466.6666666667,30918.9725,30918.9725,3808.235,723.11,590.0,12544.5,311.76,2165.0,0.0,1483.0,1730.0,0.0,909.3,6654.0675
312849770,2,1,1,1.0,43333.3333333333,43333.3333333333,25513.328,25513.328,8584.225,0.0,900.0,3447.015,0.0,684.14,2245.538,1650.0,3522.41,4000.0,0.0,480.0
907768057,2,1,1,1.0,24700.0,24700.0,21569.77,21569.77,5135.38,649.5,280.0,13000.0,0.0,173.2,324.75,480.0,0.0,0.0,952.6,574.34
229156518,2,3,2,1.5,248733.333333333,82911.1111111111,58484.345,19494.7816666667,15095.3759,2623.98,850.0,11160.8,10907.112,0.0,4489.8,1700.0,2900.0,0.0,8399.87,357.4071
312667352,2,1,1,1.0,47166.6666666667,47166.6666666667,25849.216,25849.216,8870.005,0.0,2700.0,3600.0,2233.82,1000.0,1249.205,1700.0,700.0,1300.0,2459.44,36.746
17059742,2,1,1,1.0,16322.0,16322.0,18028.087,18028.087,3132.755,0.0,980.0,8600.0,0.0,1567.46,105.652,450.0,880.0,0.0,433.0,1879.22
377834465,2,3,2,1.5,34350.0,11450.0,42363.0681,14121.0227,12530.4571,0.0,2050.0,11066.28,1211.7334,1800.0,670.0675,1675.0,2819.9067,3200.0,2866.46,2473.1634
13071351,2,1,1,1.0,28466.6666666667,28466.6666666667,22058.3454,22058.3454,6522.1491,740.43,500.0,2754.7,1056.0,5600.0,277.5963,602.8,2883.2,0.0,718.78,402.69
81620409,2,2,2,1.0,45250.0,22625.0,22599.9477,11299.97385,6229.5277,0.0,2350.0,4500.0,72.0,0.0,1402.92,550.0,550.0,0.0,5845.5,1100.0
